EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-09-2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ISRAEL, JERUSALEM CENTRAL (STAID: 132).
Blended and updated with sources: 100477 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100477,19510423,    1,    0
100477,19510424,    0,    0
100477,19510425,    0,    0
100477,19510426,    0,    0
100477,19510427,    0,    0
100477,19510428,    0,    0
100477,19510429,    0,    0
100477,19510430,    0,    0
100477,19510501,    0,    0
100477,19510502,    0,    0
100477,19510503,    0,    0
100477,19510504,    0,    0
100477,19510505,    0,    0
100477,19510506,    0,    0
100477,19510507,    0,    0
100477,19510508,    0,    0
100477,19510509,    0,    0
100477,19510510,    0,    0
100477,19510511,    0,    0
100477,19510512,    0,    0
100477,19510513,    0,    0
100477,19510514,    0,    0
100477,19510515,    0,    0
100477,19510516,    0,    0
100477,19510517,    0,    0
100477,19510518,    0,    0
100477,19510519,    0,    0
100477,19510520,    0,    0
100477,19510521,    0,    0
100477,19510522,    0,    0
100477,19510523,    0,    0
100477,19510524,    0,    0
100477,19510525,    0,    0
100477,19510526,    0,    0
100477,19510527,    0,    0
100477,19510528,    0,    0
100477,19510529,    0,    0
100477,19510530,    0,    0
100477,19510531,    0,    0
100477,19510601,    0,    0
100477,19510602,    0,    0
100477,19510603,    0,    0
100477,19510604,    0,    0
100477,19510605,    0,    0
100477,19510606,    0,    0
100477,19510607,    0,    0
100477,19510608,    0,    0
100477,19510609,    0,    0
100477,19510610,    0,    0
100477,19510611,    0,    0
100477,19510612,    0,    0
100477,19510613,    0,    0
100477,19510614,    0,    0
100477,19510615,    0,    0
100477,19510616,    0,    0
100477,19510617,    0,    0
100477,19510618,    0,    0
100477,19510619,    0,    0
100477,19510620,    0,    0
100477,19510621,    0,    0
100477,19510622,    0,    0
100477,19510623,    0,    0
100477,19510624,    0,    0
100477,19510625,    0,    0
100477,19510626,    0,    0
100477,19510627,    0,    0
100477,19510628,    0,    0
100477,19510629,    0,    0
100477,19510630,    0,    0
100477,19510701,    0,    0
100477,19510702,    0,    0
100477,19510703,    0,    0
100477,19510704,    0,    0
100477,19510705,    0,    0
100477,19510706,    0,    0
100477,19510707,    0,    0
100477,19510708,    0,    0
100477,19510709,    0,    0
100477,19510710,    0,    0
100477,19510711,    0,    0
100477,19510712,    0,    0
100477,19510713,    0,    0
100477,19510714,    0,    0
100477,19510715,    0,    0
100477,19510716,    0,    0
100477,19510717,    0,    0
100477,19510718,    0,    0
100477,19510719,    0,    0
100477,19510720,    0,    0
100477,19510721,    0,    0
100477,19510722,    0,    0
100477,19510723,    0,    0
100477,19510724,    0,    0
100477,19510725,    0,    0
100477,19510726,    0,    0
100477,19510727,    0,    0
100477,19510728,    0,    0
100477,19510729,    0,    0
100477,19510730,    0,    0
100477,19510731,    0,    0
100477,19510801,    0,    0
100477,19510802,    0,    0
100477,19510803,    0,    0
100477,19510804,    0,    0
100477,19510805,    0,    0
100477,19510806,    0,    0
100477,19510807,    0,    0
100477,19510808,    0,    0
100477,19510809,    0,    0
100477,19510810,    0,    0
100477,19510811,    0,    0
100477,19510812,    0,    0
100477,19510813,    0,    0
100477,19510814,    0,    0
100477,19510815,    0,    0
100477,19510816,    0,    0
100477,19510817,    0,    0
100477,19510818,    0,    0
100477,19510819,    0,    0
100477,19510820,    0,    0
